ID	Name	SMILES	Origin	Source	InChiKey	recognized_monomers	nerpa2_supported_monomers	Cluster
BGC0000301.1	anabaenopeptin 915	CC[C@H](C)[C@H]1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O	Planktothrix agardhii NIVA-CYA 126/8	MIBiG4.0	KWDLKNNQGMAHJR-HBWVXJRASA-N	6	6	2410
BGC0000302.0	anabaenopeptin	C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3	Anabaena sp. 90	MIBiG4.0	BFLURJDTSAXPNZ-NCUXDPMLSA-N	6	6	877
BGC0000304.0	apicidin	[H][C@]12CCCCN1C(=O)[C@@H](NC(=O)[C@H](CC1=CN(OC)C3=C1C=CC=C3)NC(=O)[C@H](CCCCCC(=O)CC)NC2=O)C(C)CC	Fusarium incarnatum	MIBiG4.0	JWOGUUIOCYMBPV-LQJYRIKDSA-N	3	3	5382
BGC0000305.0	arthrofactin A	CCCCCCC[C@H](O)CC(N[C@@H](C(N[C@@H](C(N[C@H]([C@H](OC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](CO)NC(C(CC(C)C)N1)=O)=O)[C@@H](C)CC)=O)[C@@H](C)CC)=O)CC(O)=O)=O)C)C(N[C@@H](C(N[C@H](CC(C)C)C(N[C@H](CO)C1=O)=O)=O)CC(C)C)=O)=O)CC(O)=O)=O)CC(C)C)=O	Pseudomonas sp. MIS38	MIBiG4.0	UROZFFDPLXHNMZ-ATOUVZBTSA-N	11	11	473
BGC0000306.0	arylomycin	CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@H]1C2=CC(=C(C=C2)O)C3=C(C=CC(=C3)C[C@H](NC(=O)[C@@H](NC1=O)C)C(=O)O)O	Streptomyces filamentosus NRRL 11379	MIBiG4.0	HGWCKYGOWQEYSJ-JBWZRHCTSA-N	6	6	3593
BGC0000307.0	AbT1	[H][C@@](C)(CC)[C@]1([H])NC(=O)[C@]2([H])CCCN2C(=O)[C@]([H])(CC2=CC=CC=C2)N(C)C(=O)[C@]([H])(CC2=CC=CC=C2)NC(=O)[C@]([H])(C(C)C)N(C)C(=O)[C@]([H])(OC(=O)[C@@]([H])(N(C)C(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(C(C)C)N(C)C1=O)C(C)(C)O)[C@@]([H])(C)CC	Aureobasidium pullulans	MIBiG4.0	RLMLFADXHJLPSQ-QLLGQPFOSA-N	9	9	6314
BGC0000309.0	bacillibactin	C[C@@H]1[C@@H](C(=O)O[C@@H]([C@@H](C(=O)O[C@@H]([C@@H](C(=O)O1)NC(=O)CNC(=O)C2=C(C(=CC=C2)O)O)C)NC(=O)CNC(=O)C3=C(C(=CC=C3)O)O)C)NC(=O)CNC(=O)C4=C(C(=CC=C4)O)O	Bacillus subtilis subsp. subtilis str. 168	MIBiG4.0	RCQTVEFBFUNTGM-BDVHUIKKSA-N	9	9	75
BGC0000310.0	bacitracin	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	Bacillus licheniformis	MIBiG4.0	CLKOFPXJLQSYAH-UHFFFAOYSA-N	12	12	806
BGC0000311.0	balhimycin	CNC(CC(C)C)C(=O)NC1C(O)C2=CC=C(OC3=C(OC4O[C@H](CO)C(O)[C@H](O)C4O)C4=CC(=C3)C(NC(=O)C(CC(N)=O)NC1=O)C(=O)NC1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3C(NC(=O)C(NC1=O)C(OC1C[C@](C)(N)C(=O)C(C)O1)C1=CC=C(O4)C(Cl)=C1)C(O)=O)C(Cl)=C2	Amycolatopsis balhimycina DSM 5908	MIBiG4.0	WKNFBFHAYANQHF-HPBAPGONSA-N	9	7	6582
BGC0000312.0	bassianolide	CC(C)CC1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C	Beauveria bassiana	MIBiG4.0	QVZZPLDJERFENQ-UHFFFAOYSA-N	8	8	5005
BGC0000313.0	beauvericin	CC(C)C1OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C1=O)C(C)C)C(C)C	Beauveria bassiana	MIBiG4.0	GYSCAQFHASJXRS-UHFFFAOYSA-N	6	6	7212
BGC0000315.0	CDA1b	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H](CCC(O)=O)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(O[C@H](C)[C@@H]4NC([C@H](CO)NC(C(O5)C5CCC)=O)=O)=O)=O)=O)[C@H](OP(O)(O)=O)C(N)=O)=O)=O)=O)=O)[C@H](CC(O)=O)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC4=O)=O	Streptomyces coelicolor A3(2)	MIBiG4.0	LUYIOBWFMDELAR-NMJWYASFSA-N	11	10	528
BGC0000315.1	CDA2a	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H](CCC(O)=O)C(N/C(C(O[C@H](C)[C@@H]2NC([C@H](CO)NC(C(O3)C3CCC)=O)=O)=O)=C\C4=CNC5=C4C=CC=C5)=O)=O)[C@H](OP(O)(O)=O)C(N)=O)=O)=O)=O)=O)[C@H](CC(O)=O)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC2=O)=O	Streptomyces coelicolor A3(2)	MIBiG4.0	HDBCLPTUKVHJRE-NHTRHERRSA-N	11	10	5669
BGC0000315.2	CDA2b	CCCC1OC1C(=O)N[C@@H](CO)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC1=O)C1=CC=C(O)C=C1)[C@H](OP(O)(O)=O)C(N)=O)C(C)CC(O)=O	Streptomyces coelicolor A3(2)	MIBiG4.0	WTMASHWTLVHXAV-OQOVWUBXSA-N	11	10	65
BGC0000315.3	CDA3a	[H][C@@]1(CCC(O)=O)NC([C@](NC(CNC([C@@H](NC([C@@H](C2=CC=C(C=C2)O)NC([C@@H](NC([C@@H](NC([C@H](NC([C@H]([C@H](OC(/C(NC1=O)=C/C3=CNC4=C3C=CC=C4)=O)C)NC([C@@H](NC(C5OC5CCC)=O)CO)=O)=O)CC6=CNC7=C6C=CC=C7)=O)CC(O)=O)=O)CC(O)=O)=O)=O)CC(O)=O)=O)=O)([C@@H](C(N)=O)O)[H])=O	Streptomyces coelicolor A3(2)	MIBiG4.0	SLGCKWXDQZMUCF-SSNLTMHJSA-N	11	11	6018
BGC0000315.4	CDA3b	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H](CCC(O)=O)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(O[C@H](C)[C@@H]4NC([C@H](CO)NC(C(O5)C5CCC)=O)=O)=O)=O)=O)[C@@H](C(N)=O)O)=O)=O)=O)=O)[C@H](CC(O)=C)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC4=O)=O	Streptomyces coelicolor A3(2)	MIBiG4.0	XGLCZYVABSAPMJ-AISVKAHBSA-N	10	10	1202
BGC0000315.5	CDA4a	O=C(N[C@@H](CC(O)=O)C(N[C@H](C1=CC=C(O)C=C1)C(N[C@@H](CC(O)=O)C(NCC(N[C@@H](C(N[C@@H]([C@H](C)CC(O)=O)C(N/C(C(O[C@H](C)[C@@H]2NC([C@H](CO)NC(C(O3)C3CCC)=O)=O)=O)=C\C4=CNC5=C4C=CC=C5)=O)=O)[C@H](O)C(N)=O)=O)=O)=O)=O)[C@H](CC(O)=O)NC([C@@H](CC6=CNC7=C6C=CC=C7)NC2=O)=O	Streptomyces coelicolor A3(2)	MIBiG4.0	NQOKDPHJXPKXGQ-HITDHQDLSA-N	11	11	4606
BGC0000316.0	capreomycin IA	O=C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	Saccharothrix mutabilis subsp. capreolus	MIBiG4.0	JNIIDKODPGHQSS-CGLFUZANSA-N	6	5	1802
BGC0000316.1	capreomycin IB	C[C@H]1C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]2CCN=C(N)N2)C(NC[C@H](N)C(N1)=O)=O)=O)=C\NC(N)=O)=O)=O	Saccharothrix mutabilis subsp. capreolus	MIBiG4.0	FRXNXDHFQYZYNA-XYHSJSFUSA-N	6	5	6735
BGC0000316.2	capreomycin IIA	O=C(N[C@@H](CN)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	Saccharothrix mutabilis subsp. capreolus	MIBiG4.0	XFGCTBYTRMLWCB-MRSVHRRQSA-N	5	4	2397
BGC0000316.3	capreomycin IIB	C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CN	Saccharothrix mutabilis subsp. capreolus	MIBiG4.0	MHBQQDNEPQYCOS-CBQPQWBASA-N	5	4	420
BGC0000320.0	cereulide	CC(C)C[C@H]1OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C	Bacillus cereus	MIBiG4.0	JWWAHGUHYLWQCQ-UHZBFKKDSA-N	12	12	5652
BGC0000322.0	chloroeremomycin	C[C@H]1[C@@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(C)N)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O	Amycolatopsis orientalis	MIBiG4.0	XJHXLMVKYIVZTE-LOALFDMRSA-N	10	7	7024
BGC0000323.0	cichofactin A	O=C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)=O)=O)=O)=O)=O)[C@H](CC1=CNC=N1)NC(CC(O)CCCCCCC)=O	Pseudomonas cichorii	MIBiG4.0	FVJBYOXUZWKLDG-FRECFEOCSA-N	9	9	6950
BGC0000325.0	coelichelin	C[C@@H](O)[C@@H](NC(=O)[C@H](N)CCCN(O)C=O)C(=O)N(O)CCC[C@H](NC(=O)[C@H](N)CCCN(O)C=O)C(O)=O	Streptomyces coelicolor A3(2)	MIBiG4.0	ZPJLQAOTGYKOBJ-OVYGPGRDSA-N	4	4	2447
BGC0000326.0	isocomplestatin	CN1[C@@H](CC2=CC=C(OC3=CC4=CC(=C3O)C3=CC5=C(C=C3)C(C[C@@H](NC(=O)C(=O)C3=CC(Cl)=C(O)C(Cl)=C3)C(=O)N[C@H](C3=CC(Cl)=C(O)C(Cl)=C3)C(=O)N[C@H]4C(=O)N[C@H](C3=CC(Cl)=C(O)C(Cl)=C3)C1=O)=CN5)C=C2)C(=O)N[C@@H](C(O)=O)C1=CC=C(O)C=C1	Streptomyces lavendulae	MIBiG4.0	JJGZGELTZPACID-OTLJHNKQSA-N	4	4	4352
BGC0000329.0	corpeptin A	CCCCCCCC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](CCO)C(=N[C@@H](C(C)C)C(=N[C@@H]([C@H](C)CC)C(=NC(=C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@H]2[C@@H](OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)C)O)CCN)O)CO)O)[C@@H](C)CC)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O	Pseudomonas corrugata	MIBiG4.0	FKHKGFPKDCFJTR-OLOWBZJQSA-N	22	22	4309
BGC0000329.1	corpeptin B	CCCC/C=C\CC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](CCO)C(=N[C@@H](C(C)C)C(=N[C@@H]([C@H](C)CC)C(=NC(=C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@H]2[C@@H](OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)C)O)CCN)O)CO)O)[C@@H](C)CC)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O	Pseudomonas corrugata	MIBiG4.0	GKFSXZMXKLOLNR-YOAJQWAZSA-N	22	22	6721
BGC0000330.0	cupriachelin	CCCCCCCCCC(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C[C@H](C)O)C(O)=O	Cupriavidus necator H16	MIBiG4.0	NKYSSGMAMSGPMC-UBFCWUJISA-N	5	5	1677
BGC0000331.0	cyanopeptolin 1138	CCC(C)C1C(=O)OC(C(C(=O)NC(C(=O)NC2CCC(N(C2=O)C(C(=O)N(C(C(=O)N1)CC3=CC=CC=C3)C)C(C)CC)O)CCC4=CC=C(C=C4)O)NC(=O)C(CCC5=CC=C(C=C5)O)NC(=O)C(COS(=O)(=O)O)OC)C	Planktothrix agardhii NIVA-CYA 116	MIBiG4.0	IPSPUQFSLMOERD-UHFFFAOYSA-N	7	7	4509
BGC0000332.0	cyanopeptolin	CC[C@H](C)[C@H]1C(=O)O[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]2CC[C@H](N(C2=O)[C@H](C(=O)N([C@H](C(=O)N1)CC3=CC=CC=C3)C)[C@@H](C)CC)O)CCCN=C(N)N)NC(=O)[C@@H](COS(=O)(=O)O)O)C	Microcystis sp. NIVA-CYA 172/5	MIBiG4.0	LQLBUPVHKUILGJ-LKAQEJCWSA-N	6	6	5663
BGC0000333.0	cyclomarin D	CO[C@@H]([C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](C[C@@H](C)CO)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C)[C@H](C)C=C(C)C)[C@H](O)C1=CN(C2=C1C=CC=C2)C(C)(C)C=C)C1=CC=CC=C1	Salinispora arenicola CNS-205	MIBiG4.0	AHDUXXXZGSWYHF-IXGGKXOYSA-N	3	3	952
BGC0000334.0	cyclosporin A	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	Tolypocladium inflatum NRRL 8044	MIBiG4.0	PMATZTZNYRCHOR-CGLBZJNRSA-N	11	11	4724
BGC0000335.0	cystomanamide A	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O	Cystobacter fuscus	MIBiG4.0	JENXRARIASYFRK-LXTLSNALSA-N	3	3	169
BGC0000335.1	cystomanamide B	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(=O)OC[C@@H](O)C(=O)N[C@H](CC1=CC=C(O)C=C1)C(O)=O	Cystobacter fuscus	MIBiG4.0	XVVKSDYJVOKNQB-YUSBRPJASA-N	4	4	1347
BGC0000335.2	cystomanamide C	CC(C)CCCCC[C@H](CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O)NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O	Cystobacter fuscus	MIBiG4.0	ZQVAGUCMGLTYLM-XYGWJPTCSA-N	3	3	6406
BGC0000335.3	cystomanamide D	CC(C)CCCCC[C@H](CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O)NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O	Cystobacter fuscus	MIBiG4.0	LEKPXUJAHHIWPQ-JUSKRKDISA-N	3	3	1943
BGC0000336.0	daptomycin	CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C	Streptomyces filamentosus NRRL 11379	MIBiG4.0	DOAKLVKFURWEDJ-QCMAZARJSA-N	13	13	7147
BGC0000337.0	destruxin A	[H][C@@]12CCCN1C(=O)[C@@H](CC=C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](NC2=O)[C@@H](C)CC	Metarhizium robertsii ARSEF 23	MIBiG4.0	XIYSEKITPHTMJT-OCCJOITDSA-N	5	5	2858
BGC0000338.0	echinocandin B	CCCCC/C=C\C/C=C\CCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H]([C@H](CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](C)O)C)O)O)O	Aspergillus rugulosus	MIBiG4.0	FAUOJMHVEYMQQG-HVYQDZECSA-N	3	3	6147
BGC0000339.0	echinomycin	C[C@@H]1C(=O)N([C@H]2CSC([C@@H](C(=O)N([C@H](C(=O)OC[C@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@@H](COC(=O)[C@@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C	Streptomyces lasaliensis	MIBiG4.0	AUJXLBOHYWTPFV-CVLRASHMSA-N	10	8	3675
BGC0000341.0	enduracidin A	CCC(C)CCCC/C=C/C=C/C(=O)NC(CC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C2=CC=C(C=C2)O)CCCN)C(C)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O)C(C)O)CCCNC(=O)N)CC5CN=C(N5)N)C6=CC=C(C=C6)O)CO)C7=CC(=C(C(=C7)Cl)O)Cl)CC8CN=C(N8)N)C)C9=CC=C(C=C9)O)C	Streptomyces fungicidicus	MIBiG4.0	JPYWPHBUMZRLPO-JDCCHMEXSA-N	17	14	5660
BGC0000342.0	enniatin	CCCC[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)CC)C)C(C)C)C(C)C)C)C(C)C	Fusarium equiseti	MIBiG4.0	VGOLHAPJYMAXRH-CKHUAROESA-N	5	5	4846
BGC0000343.0	enterobactin	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O	Pseudomonas sp. J465	MIBiG4.0	SERBHKJMVBATSJ-UHFFFAOYSA-N	6	6	5658
BGC0000346.0	epoxomicin	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C	Goodfellowiella coeruleoviolacea	MIBiG4.0	DOGIDQKFVLKMLQ-JTHVHQAWSA-N	4	4	1360
