	NRP variant	Verdict	Assignee	Comment (esp if marked for investigation)	URL
BGC0001344#0	BGC0001344.7#3	for investigation	Ilia	same as 1344.8	
BGC0002172#0	BGC0002172.2#3	to be corrected	Ilia	mapping of A-domains to modules was messed up because of an orphan A-domain. Don't know how to fix it yet	
BGC0000985#0	BGC0000985.4#1	for investigation	Ilia	bad alignment; Nerpa completely messed up (incorrect assembly line) but maybe it is possible to make a reasonable alignment manually	
BGC0000386#0	BGC0000386.3#0	to be corrected	Ilia, Azat	predictions are bad but alignment is reasonable. Should the last monomer be skipped or the last module be iterated? --- Azat: I think it should be rather skipped, i don't see any iterative stuff in the paper	
BGC0000985#0	BGC0000985.1#0	for investigation	Ilia	nerpa failed to generate correct assembly line	
BGC0002413#0	BGC0002413.0#0	was corrected	Ilia		
BGC0000320#0	BGC0000320.0#1	bad	Ilia		
BGC0002414#0	BGC0002414.0#0	for investigation	Ilia	the match seems reasonable but the alignment needs to be corrected	
BGC0002414#0	BGC0002414.0#0	for investigation	Ilia	same as 2414.0	
BGC0002432#0	BGC0002432.0#0	to be corrected	Azat	assembly line should be split into multiple fragments	https://mibig.secondarymetabolites.org/repository/BGC0002432
BGC0000323#0	BGC0000323.1#0	for investigation	Azat	first NRP monomer skipped, but it is missing in the BGC as well	https://mibig.secondarymetabolites.org/repository/BGC0000323
BGC0001346#0	BGC0001346.1#0	to be corrected	Azat	incorrect C_DUAL handling	https://mibig.secondarymetabolites.org/repository/BGC0001346
BGC0001628#0	BGC0001628.0#0	good	Azat	first NRP monomer skipped, but it is missing in the BGC as well	https://mibig.secondarymetabolites.org/repository/BGC0001628
BGC0001955#0	BGC0001955.3#0	for investigation	Azat	BGC_MODULE_SKIP. Ilia: should the first module be skipped or mapped to the monomer?	https://mibig.secondarymetabolites.org/repository/BGC0001955
BGC0002109#0	BGC0002109.2#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0002109
BGC0001230#0	BGC0001230.3#0	to be corrected	Azat, Ilia	The match is GOOD, but it looks like the first NRP Monomer should have been matched with ctg1_sln14. Ilia: the true assembly line is weird; I think for Nerpa it would be best to skip gene sln9 and monomers X0, Glu, and match everything else.	https://mibig.secondarymetabolites.org/repository/BGC0001230
BGC0000464#0	BGC0000464.1#0	to be corrected	Azat	C_DUAL not handled	https://mibig.secondarymetabolites.org/repository/BGC0000464
BGC0001822#0	BGC0001822.1#0	was corrected	Azat, Ilia	corrected epimerization prediction for vioC_0	https://mibig.secondarymetabolites.org/repository/BGC0001822
BGC0001230#0	BGC0001230.6#0	to be corrected	Azat, Ilia	The match is GOOD, but it looks like the first NRP Monomer should have been matched with ctg1_sln14; Ilia: the true assembly line is weird; I think for Nerpa it would be best to skip gene sln9 and monomers X0, Glu, and match everything else.	https://mibig.secondarymetabolites.org/repository/BGC0001230
BGC0002484#19	BGC0002484.2#0	for investigation	Azat	Looks like gene 15580 is present in the assembly line but it can't be included by Nerpa because of A-PCP and TE domains 	https://mibig.secondarymetabolites.org/repository/BGC0002484
BGC0002484#19	BGC0002484.1#0	good	Ilia		https://mibig.secondarymetabolites.org/repository/BGC0002484
BGC0002123#3	BGC0002123.0#0	to be corrected	Azat	join alignments for separate fragments	https://mibig.secondarymetabolites.org/repository/BGC0002123
BGC0000402#0	BGC0000402.2#0	for investigation	Azat		https://mibig.secondarymetabolites.org/repository/BGC0000402
BGC0001370#0	BGC0001370.1#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001370
BGC0001045#0	BGC0001045.0#0	for investigation	Azat	ctg1_spiA should have been removed from the BGC variant	https://mibig.secondarymetabolites.org/repository/BGC0001045
BGC0001393#1	BGC0001393.0#0	bad	Azat	BGC is weird, but a meaningful linearization seems possible	https://mibig.secondarymetabolites.org/repository/BGC0001393
BGC0000413#0	BGC0000413.0#0	for investigation	Azat	first two NRP monomers should be removed	https://mibig.secondarymetabolites.org/repository/BGC0000413
BGC0002572#0	BGC0002572.0#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0002572
BGC0002581#0	BGC0002581.5#0	good	Azat, Azat		https://mibig.secondarymetabolites.org/repository/BGC0002581
BGC0000315#0	BGC0000315.2#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0000315
BGC0001127#0	BGC0001127.0#0	was corrected	Azat	iterate first module instead of skipping monomer	https://mibig.secondarymetabolites.org/repository/BGC0001127
BGC0000439#0	BGC0000439.0#0	was corrected	Azat	The first NRP monomer is rightfully removed, but the second is an unrecognized modification of the correct BGC monomer	https://mibig.secondarymetabolites.org/repository/BGC0000439
BGC0001822#0	BGC0001822.3#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001822
BGC0002123#3	BGC0002123.2#0	to be corrected	Azat	join alignments for separate fragments	https://mibig.secondarymetabolites.org/repository/BGC0002123
BGC0000447#0	BGC0000447.1#0	for investigation	Azat	NRP chirality is mostly incorrect, alignment is ok	https://mibig.secondarymetabolites.org/repository/BGC0000447
BGC0000330#0	BGC0000330.0#0	for investigation	Azat	Alignment would be correct if we swapped ctg1_H16_B1683 and ctg1_H16_B1685	https://mibig.secondarymetabolites.org/repository/BGC0000330
BGC0000438#0	BGC0000438.0#0	for investigation	Azat	Something wrong with the structure (?)	https://mibig.secondarymetabolites.org/repository/BGC0000438
BGC0001050#0	BGC0001050.0#0	to be corrected	Azat, Ilia	NRP-PK hybrid with a half of monomers unrecognized + an iterative gene. But looks kinda ok; Ilia: ttbA iteration should be applied, the first module should be skipped at the first iteration	https://mibig.secondarymetabolites.org/repository/BGC0001050
BGC0001620#0	BGC0001620.1#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001620
BGC0002117#0	BGC0002117.1#0	was corrected	Azat	C_DUAL	https://mibig.secondarymetabolites.org/repository/BGC0002117
BGC0002484#2	BGC0002484.0#0	good	Azat, Ilia	The last monomer is an X one and is not trimmed (in some other cases trimming is there); Looks like gene 15580 is present in the assembly line but it can't be included by Nerpa because of A-PCP and TE domains 	https://mibig.secondarymetabolites.org/repository/BGC0002484
BGC0002409#0	BGC0002409.5#0	for investigation	Azat	Looks good, even though the alignment is not perfect -- probably due to two singular A domains;	https://mibig.secondarymetabolites.org/repository/BGC0002409
BGC0001130#0	BGC0001130.1#0	was corrected	Azat	C_DCL	https://mibig.secondarymetabolites.org/repository/BGC0001130
BGC0001056#0	BGC0001056.3#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001056
BGC0000964#0	BGC0000964.0#0	for investigation	Azat	looks good, but ctg1_BTH_I2367 should have been removed from the variant	https://mibig.secondarymetabolites.org/repository/BGC0000964
BGC0001192#4	BGC0001192.0#0	for investigation	Azat	the correct BGC variant would be ctg1_AJM89738.1 - AJM89735.1 - ctg1_AJM89734.1	https://mibig.secondarymetabolites.org/repository/BGC0001192
BGC0001330#0	BGC0001330.6#0	was corrected	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001330
BGC0000354#1	BGC0000354.1#0	good	Azat, Ilia	The BGC clearly suggests non-linear assembly. The NRP is a "true branch-cyclic", its linearization is probably wrong. Ilia: I don't see any problems	https://mibig.secondarymetabolites.org/repository/BGC0000354
BGC0001448#1	BGC0001448.1#0	for investigation	Azat	Very similar to BGC0000354#1, same issues	https://mibig.secondarymetabolites.org/repository/BGC0001448
BGC0002503#3	BGC0002503.3#0	for investigation	Azat	Wrong BGC variant	https://mibig.secondarymetabolites.org/repository/BGC0002503
BGC0002107#1	BGC0002107.0#0	good	Azat, Azat	rather complicated case, where nerpa produced mostly correct alignment, but has misplaced one of the genes if we believe the paper	https://mibig.secondarymetabolites.org/repository/BGC0002107
BGC0000416#0	BGC0000416.1#0	to be corrected	Azat	last module is likely iterated, indicated by lonely C-domain	https://mibig.secondarymetabolites.org/repository/BGC0000416
BGC0000424#0	BGC0000424.1#0	good	Azat	Add OH-cOrn to supported monomers	https://mibig.secondarymetabolites.org/repository/BGC0000424
BGC0002532#1	BGC0002532.0#0	to be corrected	Azat	THe last monomer is trimmed but is in fact a modified tyr	https://mibig.secondarymetabolites.org/repository/BGC0002532
BGC0002581#0	BGC0002581.1#0	for investigation	Azat	THe first monomer is trimmed but is a modified correct one. BGC variant should be ctg1_QKF54435.2 - ctg1_QKF54436.1 - QKF54438.1	https://mibig.secondarymetabolites.org/repository/BGC0002581
BGC0000301#0	BGC0000301.1#0	for investigation	Azat	The NRP is a "true branch-cyclic", its linearization is probably wrong. Somewhat similar to BGC0000354#1	https://mibig.secondarymetabolites.org/repository/BGC0000301
BGC0001214#0	BGC0001214.4#0	was corrected	Azat	two unrecognized monomers & teh bgc having a singular A domain, but will do	https://mibig.secondarymetabolites.org/repository/BGC0001214
BGC0001402#0	BGC0001402.1#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001402
BGC0001479#0	BGC0001479.0#0	for investigation	Azat	The NRP is a "true branch-cyclic", its linearization is probably wrong. Very similar to BGC0000301	https://mibig.secondarymetabolites.org/repository/BGC0001479
BGC0002370#0	BGC0002370.0#0	good	Azat	unrecognized monomers, unknown A domain	https://mibig.secondarymetabolites.org/repository/BGC0002370
BGC0000423#0	BGC0000423.0#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0000423
BGC0001103#0	BGC0001103.0#0	bad	Azat	Assembly line and the structure both look straightforward but don't match at all. AntiSMASH shows "NRPS domain of unknown function", maybe they have smth to do with it	https://mibig.secondarymetabolites.org/repository/BGC0001103
BGC0002409#0	BGC0002409.2#0	for investigation	Azat	Looks ok, but the alignment is not perfect -- probably due to two singular A domains; should the last module be epimerized?	https://mibig.secondarymetabolites.org/repository/BGC0002409
BGC0001953#3	BGC0001953.2#0	for investigation	Azat	NRPS-PKS, bgc linearization is incorrect. It should end with puwA. NRP linearization should start with X0 (but the structure is circular so it's ok)	https://mibig.secondarymetabolites.org/repository/BGC0001953
BGC0000405#0	BGC0000405.3#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0000405
BGC0001214#0	BGC0001214.2#0	good, ok if nerpa fails	Azat	two unrecognized monomers, looks good. Ilia: Nerpa skips the wrong monomer because match unknown-unknown yields a high score. Not sure how to rectify that	https://mibig.secondarymetabolites.org/repository/BGC0001214
BGC0000984#0	BGC0000984.1#0	for investigation	Azat	Add OH-cOrn to supported monomers	https://mibig.secondarymetabolites.org/repository/BGC0000984
BGC0000416#0	BGC0000416.2#0	for investigation	Azat	looks GOOD, but the structure suggests module stuttering which wss missed in preprocessing. Maybe we should alter the rules: the BGC ends with a C domain	https://mibig.secondarymetabolites.org/repository/BGC0000416
BGC0002293#0	BGC0002293.1#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0002293
BGC0001035#0	BGC0001035.0#0	to be corrected	Azat	X monomer in the cycle was removed for no reason	https://mibig.secondarymetabolites.org/repository/BGC0001035
BGC0001016#1	BGC0001016.0#0	for investigation	Azat	NRPS-PKS. Circular structure. The alignment is incorrect, probably because mismatch costs more than two indels. The bgc linearization should be: mcyA - mcyB - mcyC - mcyE	https://mibig.secondarymetabolites.org/repository/BGC0001016
BGC0002512#0	BGC0002512.0#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0002512
BGC0002564#0	BGC0002564.1#0	good	Azat->Alexey	New comment: seems fine now, two correct NRP_monomer_skips (for seemingly PKS parts) and two bad matches for rare amino acids with low-confidence predictions (Nva) ; OLD comment: Contains two A domains (top scoring: unknown) for Nva (not in the list of supported monomers). Ilia: both C_STARTER and A-PCP module in the assembly line	https://mibig.secondarymetabolites.org/repository/BGC0002564
BGC0001822#0	BGC0001822.2#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0001822
BGC0002370#0	BGC0002370.3#0	good	Azat, Azat		https://mibig.secondarymetabolites.org/repository/BGC0002370
BGC0002564#0	BGC0002564.7#0	good	Azat, Ilia	both C_STARTER and A-PCP module in the assembly line	https://mibig.secondarymetabolites.org/repository/BGC0002564
BGC0000429#0	BGC0000429.1#0	good	Azat		https://mibig.secondarymetabolites.org/repository/BGC0000429
BGC0002735#4	BGC0002735.1#0	bad	Azat	complicated cluster (two of them?), alignment doesn't make sense and i don't see how to make it right	https://mibig.secondarymetabolites.org/repository/BGC0002735
BGC0000374#0	BGC0000374.2#0	for investigation	Azat	two unrecognized monomers were trimmed and turned into indels. Do we want such behavior? Otherwise GOOD	https://mibig.secondarymetabolites.org/repository/BGC0000374
BGC0001351#13	BGC0001351.0#0	for investigation	Azat	wrong BGC ordering, cahD should go in the end	https://mibig.secondarymetabolites.org/repository/BGC0001351
BGC0000386#0	BGC0000386.1#0	to be corrected	Azat	one of the specificities is predicted REALLY poorly; should the last gene be iterated or the last monomer be skipped?	https://mibig.secondarymetabolites.org/repository/BGC0000386
BGC0001035#0	BGC0001035.1#0	for investigation	Azat	see BGC0000374#0, otherwise GOOD	https://mibig.secondarymetabolites.org/repository/BGC0001035
BGC0000374#0	BGC0000374.6#0	good	Azat-->Alexey	NEW: correctly identified 8 monomers in the stcutres and matched 7 of them to good genes, the remaiing one is realted to separately standing A domain (and also separately standing in another gene C domain) -- impossible to catch; OLD: see BGC0000374#0, otherwise GOOD	https://mibig.secondarymetabolites.org/repository/BGC0000374
BGC0001058#0	BGC0001058.0#0	bad	Azat	complicated cluster, alignment doesn't make sense, but seems possible	https://mibig.secondarymetabolites.org/repository/BGC0001058
BGC0002735#4	BGC0002735.0#0	bad	Azat	see BGC0002735.1#0	https://mibig.secondarymetabolites.org/repository/BGC0002735
BGC0002569#0	BGC0002569.2#0	to be corrected	Azat	the last monomer Put should probably have been trimmed	https://mibig.secondarymetabolites.org/repository/BGC0002569
BGC0002408#0	BGC0002408.0#0	to be corrected	Azat	see BGC0002569.2#0 and BGC0000386.1#0	https://mibig.secondarymetabolites.org/repository/BGC0002408
BGC0001048#0	BGC0001048.0#0	bad	Azat	similar to BGC0001058.0#0	https://mibig.secondarymetabolites.org/repository/BGC0001048
BGC0001620#0	BGC0001620.2#0	good	Azat	three unknown specificities, two unrecognized monomers	https://mibig.secondarymetabolites.org/repository/BGC0001620
BGC0001768#0	BGC0001768.0#0	for investigation	Azat	an interesting case with experimentally confirmed specificities in mibig, all being promiscuous. The alignment looks strange though	https://mibig.secondarymetabolites.org/repository/BGC0001768
BGC0000441#0	BGC0000441.0#0	good	Sasha	ctg1_teiC_3 mismatch (tyr/bht) 1 incorrect chirality	https://mibig.secondarymetabolites.org/repository/BGC0000441/generated/index.html#r1c1
BGC0000323#0	BGC0000323.0#0	good	Sasha	first NRP monomer skipped, but it is missing in the BGC as well, shouldn't be on the graph; C_DUAL	https://mibig.secondarymetabolites.org/repository/BGC0000323/generated/index.html#r1c1
BGC0001346#0	BGC0001346.0#0	to be corrected	Sasha	Top_scoring_residue has a wide list of option almost for each A-domain;  ctg1_banC_2 mismatch (ile/leu) NRP chirality is UNKNOWN for all the residues	https://mibig.secondarymetabolites.org/repository/BGC0001346/generated/index.html#r1c1
BGC0001628#0	BGC0001628.1#0	good	Sasha	first NRP monomer skipped, but it is missing in the BGC as well, shouldn't be on the graph	https://mibig.secondarymetabolites.org/repository/BGC0001628/generated/index.html#r1c1
BGC0001029#0	BGC0001029.0#0	for investigation	Sasha	last NRP monomer skipped, but it is missing in the BGC as well, shouldn't be on the graph ctg1_npnB_2 chirality is UNKNOWN Why is the monomer graph cyclic?	https://mibig.secondarymetabolites.org/repository/BGC0001029/generated/index.html#r1c1
BGC0002109#0	BGC0002109.0#0	to be corrected	Sasha, Ilia	ctg1_QDJ74273.1 _3  mismatch (ile/val) Chirality is incorrect or UNKNOWN in several cases Ilia: QDJ74293.1 should be skipped instead of matched	https://mibig.secondarymetabolites.org/repository/BGC0002109/generated/index.html#r1c1
BGC0001230#0	BGC0001230.7#0	to be corrected	Sasha, Azat	sln14 should match the second residue; the first residue is probably explained by PKS part of sln14	https://mibig.secondarymetabolites.org/repository/BGC0001230/generated/index.html#r1c1
BGC0002126#0	BGC0002126.0#0	for investigation	Sasha	ctg1_J5226_16945_6 mismatch (tyr/bht) 3 incorrect chiralities	https://mibig.secondarymetabolites.org/repository/BGC0002126/generated/index.html#r1c1
BGC0002108#0	BGC0002108.0#0	for investigation	Sasha	Why is the monomer graph cyclic? BGC_MODULE_SKIP twice	https://mibig.secondarymetabolites.org/repository/BGC0002108/generated/index.html#r1c1
BGC0002092#0	BGC0002092.1#0	for investigation	Sasha	Chirality is incorrect for most monomers ctg1_steC_4 mismatch (ile,leu / val)	https://mibig.secondarymetabolites.org/repository/BGC0002092/generated/index.html#r1c1
BGC0002484#19	BGC0002484.3#0	good	Sasha, Azat		https://mibig.secondarymetabolites.org/repository/BGC0002484/generated/index.html#r1c1
BGC0001023#0	BGC0001023.0#0	for investigation	Sasha	Match for ctg1_mchC_2 is all amino acids 1 incorrect chirality BGC_MODULE_SKIP	https://mibig.secondarymetabolites.org/repository/BGC0001023/generated/index.html#r1c1
BGC0000315#0	BGC0000315.1#0	good	Sasha	Chirality is UNKNOWN for 2 monomers	https://mibig.secondarymetabolites.org/repository/BGC0000315/generated/index.html#r1c1
BGC0000402#0	BGC0000402.0#0	good	Ilia		https://mibig.secondarymetabolites.org/repository/BGC0000402/generated/index.html#r1c1
BGC0001370#0	BGC0001370.0#0	good	Sasha	1 incorrect chirality (L instead of D) ctg1_cda2PS2_3 NRP_residue is "unknown"	https://mibig.secondarymetabolites.org/repository/BGC0001370/generated/index.html#r1c1
BGC0000290#0	BGC0000290.0#0	for investigation	Sasha	BGC_MODULE_SKIP 1 incorrect chirality (L instead of D) ctg1_AAM80537.1_3 mismatch (thr/bht)	https://mibig.secondarymetabolites.org/repository/BGC0000290/generated/index.html#r1c1
BGC0002544#4	BGC0002544.1#0	for investigation	Sasha	First NRP monomer skipped 1 incorrect chirality Seems like there's an incorrect direction of monomers (?) in the graph	https://mibig.secondarymetabolites.org/repository/BGC0002544/generated/index.html#r1c1
BGC0001806#0	BGC0001806.0#0	for investigation	Sasha	Chirality is UNKNOWN for all of the monomers NRP monomer skipped between modules of ctg1_APU91750.1 ctg1_APU91750.1_1 NRP_residue is "unknown" ctg1_APU91751.1_1 mismatch (gly,ser,thr / abu)	https://mibig.secondarymetabolites.org/repository/BGC0001806/generated/index.html#r1c1
BGC0002572#0	BGC0002572.1#0	good	Sasha, Ilia	ctg1_JYQ62_16310_2 mismatch (gly,ser,thr / abu) 2 chiralities are UNKNOWN Why is the monomer graph cyclic?	https://mibig.secondarymetabolites.org/repository/BGC0002572/generated/index.html#r1c1
BGC0002379#0	BGC0002379.0#0	good	Sasha, Ilia	BGC_MODULE_SKIP Chirality is mostly UNKNOWN Several NRP_MONOMER_SKIP; Ilia: maybe genes 34650 and 34640 could be matched to first two monomers but they are so far away that probably it's ok	https://mibig.secondarymetabolites.org/repository/BGC0002379/generated/index.html#r1c1
BGC0000447#0	BGC0000447.0#0	for investigation	Sasha	Incorrect chirality for half of the monomers ctg1_taaA_1 mismatch (gly,ser,thr / abu) ctg1_taaE_1 mismatch (gly,ser,thr / abu)	https://mibig.secondarymetabolites.org/repository/BGC0000447/generated/index.html#r1c1
BGC0001428#0	BGC0001428.0#0	for investigation	Sasha	3 incorrect chiralities (one is L instead of D) BGC_MODULE_SKIP	https://mibig.secondarymetabolites.org/repository/BGC0001428/generated/index.html#r1c1
BGC0000425#0	BGC0000425.0#0	for investigation	Sasha	Most chiralities are incorrect, 2 are UNKNOWN  ctg1_sesA_1 mismatch (gly,ser,thr / abu) ctg1_sesC_1 mismatch (gly,ser,thr / abu)	https://mibig.secondarymetabolites.org/repository/BGC0000425/generated/index.html#r1c1
BGC0002411#1	BGC0002411.0#0	for investigation	Sasha	Chirality is UNKNOWN for all of the monomers tg1_Riv7116_6169_1 mismatch (cys/ser)	https://mibig.secondarymetabolites.org/repository/BGC0002411/generated/index.html#r1c1
BGC0001005#0	BGC0001005.2#0	for investigation	Sasha	NRP_MONOMER_SKIP 3 times between ctg1_locB and ctg1_locC 1 chirality is UNKNOWN	https://mibig.secondarymetabolites.org/repository/BGC0001005/generated/index.html#r1c1
BGC0000459#33	BGC0000459.1#0	good	Sasha, Ilia	First NRP monomer skipped (?) Seems like there's an incorrect direction of monomers (?) in the graph Chirality is incorrect for 1 case + 1 unknown + 1 absent; Ilia: assembly line is weird and I can't verify it because the paper is not open-access	https://mibig.secondarymetabolites.org/repository/BGC0000459/generated/index.html#r1c1
BGC0002123#2	BGC0002123.6#0	bad	Sasha	Seems like there's an incorrect direction of monomers (?) in the graph first (in fact last three) two NRP monomers skipped (ctg1_KGB56_24770) NRP chirality is UNKNOWN twice	https://mibig.secondarymetabolites.org/repository/BGC0002123/generated/index.html#r1c1
BGC0002123#5	BGC0002123.7#0	for investigation	Sasha	ctg1_KGB56_24770_2 mismatch (thr/abu) last NRP monomer skipped NRP chirality is UNKNOWN twice	https://mibig.secondarymetabolites.org/repository/BGC0002123/generated/index.html#r1c1
BGC0001240#0	BGC0001240.0#0	for investigation	Sasha	ctg1_X797_010654_1 unknown residue ctg1_X797_010654_4 mismatch (lys/gly) Chirality is UNKNOWN twice Why is the monomer graph cyclic?	https://mibig.secondarymetabolites.org/repository/BGC0001240/generated/index.html#r1c1
BGC0002117#0	BGC0002117.3#0	for investigation	Sasha	3 chiralities are incorrect, 2 UNKNOWN ctg1_FRY77_09880_4 mismatch (orn/unknown)	https://mibig.secondarymetabolites.org/repository/BGC0002117/generated/index.html#r1c1
BGC0002117#0	BGC0002117.0#0	for investigation	Sasha	3 chiralities are incorrect, 2 UNKNOWN ctg1_FRY77_09880_4 mismatch (orn/unknown)	https://mibig.secondarymetabolites.org/repository/BGC0002117/generated/index.html#r1c1
