#BGC Name	Family Number
BGC0001853.region001	1737
BGC0001106	1768
BGC0001740	1768
BGC0001885	1768
BGC0002451	1768
BGC0001125	1820
BGC0001950	1820
BGC0001951	1820
BGC0001952	1820
BGC0001953	1820
BGC0002411	1820
BGC0001966	1832
BGC0001966.region001	1832
BGC0001970	1837
BGC0001971	1837
BGC0002296	1837
BGC0000136	1869
BGC0000137	1869
BGC0001759	1869
BGC0002009	1869
BGC0000178	1911
BGC0000186	1911
BGC0000995	1911
BGC0001025	1911
BGC0001089	1911
BGC0001099	1911
BGC0001113	1911
BGC0001114	1911
BGC0001564	1911
BGC0002046	1911
BGC0002050	1911
BGC0002055	1911
BGC0002810.region001	1911
BGC0000034	1958
BGC0000108	1958
BGC0000125	1958
BGC0000138	1958
BGC0001690	1958
BGC0002104	1958
BGC0002106	1958
BGC0002540	1958
BGC0001091	1969
BGC0002118	1969
BGC0002119	1969
BGC0002186	2041
BGC0002203	2041
BGC0002203.region001	2041
BGC0002259	2041
BGC0001881	2043
BGC0002197	2043
BGC0002204	2043
BGC0002205	2043
BGC0002235	2073
BGC0002235.region001	2073
BGC0002416	2241
BGC0002417	2241
BGC0002419	2241
BGC0002420	2241
BGC0000999	2330
BGC0001043	2330
BGC0002365	2330
BGC0002434	2330
BGC0002509	2330
BGC0001030	2413
BGC0002598	2413
BGC0002605	2413
BGC0002606	2413
BGC0002607	2413
BGC0001415	2430
BGC0001467	2430
BGC0002623	2430
BGC0002623.region001	2430
BGC0002625	2433
BGC0002625.region001	2433
BGC0001014	2495
BGC0002687	2495
BGC0002687.region001	2495
BGC0001029	2537
BGC0001036	2537
BGC0001519	2537
BGC0002735	2537
BGC0002815.region001	2551
